len_src,        len_ht,diff_ht,absdiff_ht,nabsdiff_ht,        len_pemt,diff_pemt,absdiff_pemt,nabsdiff_pemt,        len_nmt1,diff_nmt1,absdiff_nmt1,nabsdiff_nmt1,        len_nmt2,diff_nmt2,absdiff_nmt2,nabsdiff_nmt2        
68,98,30,30,0.4411764705882353,101,33,33,0.4852941176470588,100,32,32,0.47058823529411764,99,31,31,0.45588235294117646
30,37,7,7,0.23333333333333334,35,5,5,0.16666666666666666,35,5,5,0.16666666666666666,46,16,16,0.5333333333333333
79,191,112,112,1.4177215189873418,177,98,98,1.240506329113924,173,94,94,1.1898734177215189,177,98,98,1.240506329113924
51,140,89,89,1.7450980392156863,96,45,45,0.8823529411764706,114,63,63,1.2352941176470589,110,59,59,1.1568627450980393
38,81,43,43,1.131578947368421,91,53,53,1.394736842105263,68,30,30,0.7894736842105263,73,35,35,0.9210526315789473
51,148,97,97,1.9019607843137254,123,72,72,1.411764705882353,155,104,104,2.0392156862745097,144,93,93,1.8235294117647058
64,140,76,76,1.1875,140,76,76,1.1875,138,74,74,1.15625,127,63,63,0.984375
18,31,13,13,0.7222222222222222,25,7,7,0.3888888888888889,27,9,9,0.5,27,9,9,0.5
16,40,24,24,1.5,31,15,15,0.9375,31,15,15,0.9375,31,15,15,0.9375
75,126,51,51,0.68,133,58,58,0.7733333333333333,123,48,48,0.64,117,42,42,0.56
39,86,47,47,1.205128205128205,70,31,31,0.7948717948717948,77,38,38,0.9743589743589743,84,45,45,1.1538461538461537
67,150,83,83,1.2388059701492538,139,72,72,1.0746268656716418,134,67,67,1.0,117,50,50,0.746268656716418
58,119,61,61,1.0517241379310345,116,58,58,1.0,110,52,52,0.896551724137931,112,54,54,0.9310344827586207
34,80,46,46,1.3529411764705883,61,27,27,0.7941176470588235,65,31,31,0.9117647058823529,66,32,32,0.9411764705882353
9,46,37,37,4.111111111111111,14,5,5,0.5555555555555556,20,11,11,1.2222222222222223,20,11,11,1.2222222222222223
74,193,119,119,1.6081081081081081,143,69,69,0.9324324324324325,183,109,109,1.472972972972973,182,108,108,1.4594594594594594
133,251,118,118,0.8872180451127819,236,103,103,0.7744360902255639,225,92,92,0.6917293233082706,219,86,86,0.6466165413533834
41,112,71,71,1.7317073170731707,109,68,68,1.6585365853658536,88,47,47,1.146341463414634,97,56,56,1.3658536585365855
27,49,22,22,0.8148148148148148,49,22,22,0.8148148148148148,45,18,18,0.6666666666666666,42,15,15,0.5555555555555556
25,75,50,50,2.0,71,46,46,1.84,74,49,49,1.96,75,50,50,2.0
55,118,63,63,1.1454545454545455,142,87,87,1.5818181818181818,116,61,61,1.1090909090909091,122,67,67,1.2181818181818183
84,169,85,85,1.0119047619047619,140,56,56,0.6666666666666666,159,75,75,0.8928571428571429,168,84,84,1.0
46,107,61,61,1.326086956521739,94,48,48,1.0434782608695652,94,48,48,1.0434782608695652,83,37,37,0.8043478260869565
74,170,96,96,1.2972972972972974,165,91,91,1.2297297297297298,140,66,66,0.8918918918918919,139,65,65,0.8783783783783784
69,81,12,12,0.17391304347826086,73,4,4,0.057971014492753624,76,7,7,0.10144927536231885,84,15,15,0.21739130434782608
45,116,71,71,1.5777777777777777,115,70,70,1.5555555555555556,106,61,61,1.3555555555555556,82,37,37,0.8222222222222222
