len_src,        len_ht,diff_ht,absdiff_ht,nabsdiff_ht,        len_pemt,diff_pemt,absdiff_pemt,nabsdiff_pemt,        len_nmt1,diff_nmt1,absdiff_nmt1,nabsdiff_nmt1,        len_nmt2,diff_nmt2,absdiff_nmt2,nabsdiff_nmt2        
89,199,110,110,1.2359550561797752,177,88,88,0.9887640449438202,195,106,106,1.1910112359550562,177,88,88,0.9887640449438202
53,131,78,78,1.471698113207547,127,74,74,1.3962264150943395,129,76,76,1.4339622641509433,126,73,73,1.3773584905660377
81,197,116,116,1.4320987654320987,184,103,103,1.271604938271605,182,101,101,1.2469135802469136,183,102,102,1.2592592592592593
84,221,137,137,1.630952380952381,160,76,76,0.9047619047619048,231,147,147,1.75,178,94,94,1.119047619047619
64,132,68,68,1.0625,133,69,69,1.078125,125,61,61,0.953125,128,64,64,1.0
90,206,116,116,1.288888888888889,251,161,161,1.788888888888889,230,140,140,1.5555555555555556,205,115,115,1.2777777777777777
76,207,131,131,1.7236842105263157,187,111,111,1.4605263157894737,199,123,123,1.618421052631579,185,109,109,1.4342105263157894
60,211,151,151,2.5166666666666666,179,119,119,1.9833333333333334,187,127,127,2.1166666666666667,152,92,92,1.5333333333333334
103,269,166,166,1.6116504854368932,271,168,168,1.6310679611650485,268,165,165,1.6019417475728155,236,133,133,1.2912621359223302
58,137,79,79,1.3620689655172413,126,68,68,1.1724137931034482,153,95,95,1.6379310344827587,118,60,60,1.0344827586206897
70,167,97,97,1.3857142857142857,169,99,99,1.4142857142857144,213,143,143,2.0428571428571427,171,101,101,1.4428571428571428
80,195,115,115,1.4375,201,121,121,1.5125,155,75,75,0.9375,139,59,59,0.7375
70,244,174,174,2.4857142857142858,168,98,98,1.4,234,164,164,2.342857142857143,190,120,120,1.7142857142857142
48,146,98,98,2.0416666666666665,153,105,105,2.1875,148,100,100,2.0833333333333335,147,99,99,2.0625
74,242,168,168,2.27027027027027,179,105,105,1.4189189189189189,208,134,134,1.8108108108108107,197,123,123,1.662162162162162
54,147,93,93,1.7222222222222223,164,110,110,2.037037037037037,117,63,63,1.1666666666666667,133,79,79,1.462962962962963
53,84,31,31,0.5849056603773585,131,78,78,1.471698113207547,107,54,54,1.0188679245283019,101,48,48,0.9056603773584906
53,147,94,94,1.7735849056603774,104,51,51,0.9622641509433962,114,61,61,1.150943396226415,98,45,45,0.8490566037735849
49,145,96,96,1.9591836734693877,141,92,92,1.8775510204081634,131,82,82,1.6734693877551021,122,73,73,1.489795918367347
110,263,153,153,1.3909090909090909,293,183,183,1.6636363636363636,225,115,115,1.0454545454545454,249,139,139,1.2636363636363637
78,277,199,199,2.551282051282051,241,163,163,2.08974358974359,207,129,129,1.6538461538461537,234,156,156,2.0
106,272,166,166,1.5660377358490567,286,180,180,1.6981132075471699,318,212,212,2.0,249,143,143,1.349056603773585
57,182,125,125,2.192982456140351,168,111,111,1.9473684210526316,195,138,138,2.4210526315789473,143,86,86,1.5087719298245614
90,315,225,225,2.5,291,201,201,2.2333333333333334,334,244,244,2.7111111111111112,266,176,176,1.9555555555555555
73,251,178,178,2.4383561643835616,178,105,105,1.4383561643835616,181,108,108,1.4794520547945205,171,98,98,1.3424657534246576
96,280,184,184,1.9166666666666667,263,167,167,1.7395833333333333,281,185,185,1.9270833333333333,257,161,161,1.6770833333333333
74,226,152,152,2.054054054054054,225,151,151,2.0405405405405403,212,138,138,1.864864864864865,223,149,149,2.0135135135135136
47,143,96,96,2.0425531914893615,150,103,103,2.1914893617021276,155,108,108,2.297872340425532,124,77,77,1.6382978723404256
82,234,152,152,1.853658536585366,202,120,120,1.4634146341463414,261,179,179,2.182926829268293,209,127,127,1.548780487804878
89,274,185,185,2.0786516853932584,241,152,152,1.7078651685393258,249,160,160,1.797752808988764,257,168,168,1.8876404494382022
60,154,94,94,1.5666666666666667,139,79,79,1.3166666666666667,174,114,114,1.9,127,67,67,1.1166666666666667
45,111,66,66,1.4666666666666666,119,74,74,1.6444444444444444,148,103,103,2.2888888888888888,129,84,84,1.8666666666666667
72,126,54,54,0.75,125,53,53,0.7361111111111112,93,21,21,0.2916666666666667,114,42,42,0.5833333333333334
68,188,120,120,1.7647058823529411,176,108,108,1.588235294117647,182,114,114,1.6764705882352942,179,111,111,1.6323529411764706
82,154,72,72,0.8780487804878049,179,97,97,1.1829268292682926,174,92,92,1.1219512195121952,172,90,90,1.0975609756097562
53,143,90,90,1.6981132075471699,122,69,69,1.3018867924528301,146,93,93,1.7547169811320755,121,68,68,1.2830188679245282
65,142,77,77,1.1846153846153846,115,50,50,0.7692307692307693,87,22,22,0.3384615384615385,99,34,34,0.5230769230769231
102,281,179,179,1.7549019607843137,203,101,101,0.9901960784313726,245,143,143,1.4019607843137254,236,134,134,1.3137254901960784
44,126,82,82,1.8636363636363635,130,86,86,1.9545454545454546,130,86,86,1.9545454545454546,130,86,86,1.9545454545454546
48,133,85,85,1.7708333333333333,111,63,63,1.3125,88,40,40,0.8333333333333334,94,46,46,0.9583333333333334
63,160,97,97,1.5396825396825398,150,87,87,1.380952380952381,144,81,81,1.2857142857142858,131,68,68,1.0793650793650793
69,146,77,77,1.1159420289855073,154,85,85,1.2318840579710144,174,105,105,1.5217391304347827,149,80,80,1.1594202898550725
103,293,190,190,1.8446601941747574,317,214,214,2.0776699029126213,275,172,172,1.6699029126213591,246,143,143,1.3883495145631068
46,133,87,87,1.891304347826087,141,95,95,2.0652173913043477,126,80,80,1.7391304347826086,107,61,61,1.326086956521739
103,266,163,163,1.5825242718446602,231,128,128,1.2427184466019416,241,138,138,1.3398058252427185,251,148,148,1.4368932038834952
78,218,140,140,1.794871794871795,157,79,79,1.0128205128205128,160,82,82,1.0512820512820513,169,91,91,1.1666666666666667
72,141,69,69,0.9583333333333334,120,48,48,0.6666666666666666,112,40,40,0.5555555555555556,141,69,69,0.9583333333333334
56,153,97,97,1.7321428571428572,130,74,74,1.3214285714285714,134,78,78,1.3928571428571428,123,67,67,1.1964285714285714
56,151,95,95,1.6964285714285714,142,86,86,1.5357142857142858,135,79,79,1.4107142857142858,130,74,74,1.3214285714285714
62,161,99,99,1.596774193548387,146,84,84,1.3548387096774193,174,112,112,1.8064516129032258,161,99,99,1.596774193548387
44,101,57,57,1.2954545454545454,100,56,56,1.2727272727272727,112,68,68,1.5454545454545454,101,57,57,1.2954545454545454
65,154,89,89,1.3692307692307693,187,122,122,1.876923076923077,153,88,88,1.353846153846154,141,76,76,1.1692307692307693
78,243,165,165,2.1153846153846154,206,128,128,1.641025641025641,215,137,137,1.7564102564102564,199,121,121,1.5512820512820513
57,127,70,70,1.2280701754385965,112,55,55,0.9649122807017544,105,48,48,0.8421052631578947,92,35,35,0.6140350877192983
66,154,88,88,1.3333333333333333,128,62,62,0.9393939393939394,121,55,55,0.8333333333333334,100,34,34,0.5151515151515151
83,243,160,160,1.927710843373494,210,127,127,1.5301204819277108,200,117,117,1.4096385542168675,189,106,106,1.2771084337349397
53,113,60,60,1.1320754716981132,93,40,40,0.7547169811320755,110,57,57,1.0754716981132075,107,54,54,1.0188679245283019
75,211,136,136,1.8133333333333332,189,114,114,1.52,201,126,126,1.68,175,100,100,1.3333333333333333
58,145,87,87,1.5,168,110,110,1.896551724137931,152,94,94,1.6206896551724137,136,78,78,1.3448275862068966
57,179,122,122,2.1403508771929824,119,62,62,1.087719298245614,116,59,59,1.0350877192982457,113,56,56,0.9824561403508771
71,193,122,122,1.7183098591549295,174,103,103,1.4507042253521127,178,107,107,1.5070422535211268,154,83,83,1.1690140845070423
57,170,113,113,1.9824561403508771,149,92,92,1.6140350877192982,126,69,69,1.2105263157894737,117,60,60,1.0526315789473684
69,199,130,130,1.8840579710144927,154,85,85,1.2318840579710144,141,72,72,1.0434782608695652,114,45,45,0.6521739130434783
57,157,100,100,1.7543859649122806,131,74,74,1.2982456140350878,159,102,102,1.7894736842105263,119,62,62,1.087719298245614
64,146,82,82,1.28125,155,91,91,1.421875,125,61,61,0.953125,119,55,55,0.859375
58,157,99,99,1.706896551724138,130,72,72,1.2413793103448276,144,86,86,1.4827586206896552,144,86,86,1.4827586206896552
87,225,138,138,1.5862068965517242,175,88,88,1.0114942528735633,201,114,114,1.3103448275862069,215,128,128,1.471264367816092
69,202,133,133,1.9275362318840579,199,130,130,1.8840579710144927,178,109,109,1.5797101449275361,170,101,101,1.463768115942029
75,170,95,95,1.2666666666666666,159,84,84,1.12,157,82,82,1.0933333333333333,163,88,88,1.1733333333333333
66,156,90,90,1.3636363636363635,154,88,88,1.3333333333333333,148,82,82,1.2424242424242424,136,70,70,1.0606060606060606
90,221,131,131,1.4555555555555555,233,143,143,1.5888888888888888,198,108,108,1.2,213,123,123,1.3666666666666667
93,215,122,122,1.3118279569892473,179,86,86,0.9247311827956989,206,113,113,1.2150537634408602,170,77,77,0.8279569892473119
98,295,197,197,2.010204081632653,237,139,139,1.4183673469387754,251,153,153,1.5612244897959184,242,144,144,1.469387755102041
76,208,132,132,1.736842105263158,197,121,121,1.5921052631578947,213,137,137,1.8026315789473684,207,131,131,1.7236842105263157
100,270,170,170,1.7,241,141,141,1.41,236,136,136,1.36,265,165,165,1.65
91,252,161,161,1.7692307692307692,230,139,139,1.5274725274725274,205,114,114,1.2527472527472527,209,118,118,1.2967032967032968
105,213,108,108,1.0285714285714285,255,150,150,1.4285714285714286,251,146,146,1.3904761904761904,231,126,126,1.2
61,221,160,160,2.622950819672131,183,122,122,2.0,146,85,85,1.3934426229508197,132,71,71,1.1639344262295082
75,178,103,103,1.3733333333333333,208,133,133,1.7733333333333334,143,68,68,0.9066666666666666,160,85,85,1.1333333333333333
