len_src,        len_ht,diff_ht,absdiff_ht,nabsdiff_ht,        len_penmt1,diff_penmt1,absdiff_penmt1,nabsdiff_penmt1,        len_penmt2,diff_penmt2,absdiff_penmt2,nabsdiff_penmt2,        len_pesmt1,diff_pesmt1,absdiff_pesmt1,nabsdiff_pesmt1,        len_pesmt2,diff_pesmt2,absdiff_pesmt2,nabsdiff_pesmt2,        len_pesmt3,diff_pesmt3,absdiff_pesmt3,nabsdiff_pesmt3,        len_nmt1,diff_nmt1,absdiff_nmt1,nabsdiff_nmt1,        len_nmt2,diff_nmt2,absdiff_nmt2,nabsdiff_nmt2,        len_smt1,diff_smt1,absdiff_smt1,nabsdiff_smt1,        len_smt2,diff_smt2,absdiff_smt2,nabsdiff_smt2,        len_smt3,diff_smt3,absdiff_smt3,nabsdiff_smt3        
98,91,-7,7,0.07142857142857142,96,-2,2,0.02040816326530612,100,2,2,0.02040816326530612,93,-5,5,0.05102040816326531,92,-6,6,0.061224489795918366,88,-10,10,0.10204081632653061,95,-3,3,0.030612244897959183,67,-31,31,0.3163265306122449,108,10,10,0.10204081632653061,101,3,3,0.030612244897959183,90,-8,8,0.08163265306122448
51,54,3,3,0.058823529411764705,54,3,3,0.058823529411764705,55,4,4,0.0784313725490196,53,2,2,0.0392156862745098,57,6,6,0.11764705882352941,55,4,4,0.0784313725490196,46,-5,5,0.09803921568627451,44,-7,7,0.13725490196078433,55,4,4,0.0784313725490196,56,5,5,0.09803921568627451,63,12,12,0.23529411764705882
59,72,13,13,0.22033898305084745,72,13,13,0.22033898305084745,72,13,13,0.22033898305084745,70,11,11,0.1864406779661017,69,10,10,0.1694915254237288,71,12,12,0.2033898305084746,68,9,9,0.15254237288135594,68,9,9,0.15254237288135594,67,8,8,0.13559322033898305,68,9,9,0.15254237288135594,67,8,8,0.13559322033898305
36,38,2,2,0.05555555555555555,33,-3,3,0.08333333333333333,38,2,2,0.05555555555555555,38,2,2,0.05555555555555555,38,2,2,0.05555555555555555,38,2,2,0.05555555555555555,33,-3,3,0.08333333333333333,33,-3,3,0.08333333333333333,35,-1,1,0.027777777777777776,37,1,1,0.027777777777777776,32,-4,4,0.1111111111111111
46,53,7,7,0.15217391304347827,38,-8,8,0.17391304347826086,55,9,9,0.1956521739130435,58,12,12,0.2608695652173913,59,13,13,0.2826086956521739,65,19,19,0.41304347826086957,38,-8,8,0.17391304347826086,47,1,1,0.021739130434782608,43,-3,3,0.06521739130434782,56,10,10,0.21739130434782608,47,1,1,0.021739130434782608
34,38,4,4,0.11764705882352941,40,6,6,0.17647058823529413,38,4,4,0.11764705882352941,34,0,0,0.0,34,0,0,0.0,38,4,4,0.11764705882352941,38,4,4,0.11764705882352941,38,4,4,0.11764705882352941,31,-3,3,0.08823529411764706,45,11,11,0.3235294117647059,46,12,12,0.35294117647058826
34,37,3,3,0.08823529411764706,40,6,6,0.17647058823529413,37,3,3,0.08823529411764706,37,3,3,0.08823529411764706,37,3,3,0.08823529411764706,40,6,6,0.17647058823529413,37,3,3,0.08823529411764706,37,3,3,0.08823529411764706,34,0,0,0.0,29,-5,5,0.14705882352941177,34,0,0,0.0
71,67,-4,4,0.056338028169014086,81,10,10,0.14084507042253522,74,3,3,0.04225352112676056,73,2,2,0.028169014084507043,79,8,8,0.11267605633802817,67,-4,4,0.056338028169014086,58,-13,13,0.18309859154929578,69,-2,2,0.028169014084507043,62,-9,9,0.1267605633802817,65,-6,6,0.08450704225352113,63,-8,8,0.11267605633802817
202,231,29,29,0.14356435643564355,241,39,39,0.19306930693069307,259,57,57,0.28217821782178215,245,43,43,0.21287128712871287,252,50,50,0.24752475247524752,235,33,33,0.16336633663366337,232,30,30,0.1485148514851485,234,32,32,0.15841584158415842,242,40,40,0.19801980198019803,263,61,61,0.30198019801980197,232,30,30,0.1485148514851485
103,107,4,4,0.038834951456310676,128,25,25,0.24271844660194175,140,37,37,0.3592233009708738,125,22,22,0.21359223300970873,133,30,30,0.2912621359223301,128,25,25,0.24271844660194175,124,21,21,0.20388349514563106,110,7,7,0.06796116504854369,123,20,20,0.1941747572815534,126,23,23,0.22330097087378642,125,22,22,0.21359223300970873
181,164,-17,17,0.09392265193370165,210,29,29,0.16022099447513813,213,32,32,0.17679558011049723,201,20,20,0.11049723756906077,207,26,26,0.143646408839779,221,40,40,0.22099447513812154,223,42,42,0.23204419889502761,201,20,20,0.11049723756906077,222,41,41,0.2265193370165746,221,40,40,0.22099447513812154,203,22,22,0.12154696132596685
48,45,-3,3,0.0625,68,20,20,0.4166666666666667,69,21,21,0.4375,78,30,30,0.625,65,17,17,0.3541666666666667,89,41,41,0.8541666666666666,68,20,20,0.4166666666666667,45,-3,3,0.0625,63,15,15,0.3125,63,15,15,0.3125,60,12,12,0.25
115,111,-4,4,0.034782608695652174,116,1,1,0.008695652173913044,122,7,7,0.06086956521739131,124,9,9,0.0782608695652174,146,31,31,0.26956521739130435,140,25,25,0.21739130434782608,124,9,9,0.0782608695652174,133,18,18,0.1565217391304348,116,1,1,0.008695652173913044,140,25,25,0.21739130434782608,138,23,23,0.2
29,33,4,4,0.13793103448275862,45,16,16,0.5517241379310345,43,14,14,0.4827586206896552,54,25,25,0.8620689655172413,44,15,15,0.5172413793103449,45,16,16,0.5517241379310345,47,18,18,0.6206896551724138,39,10,10,0.3448275862068966,44,15,15,0.5172413793103449,45,16,16,0.5517241379310345,53,24,24,0.8275862068965517
24,22,-2,2,0.08333333333333333,30,6,6,0.25,22,-2,2,0.08333333333333333,17,-7,7,0.2916666666666667,31,7,7,0.2916666666666667,31,7,7,0.2916666666666667,34,10,10,0.4166666666666667,12,-12,12,0.5,16,-8,8,0.3333333333333333,30,6,6,0.25,41,17,17,0.7083333333333334
53,67,14,14,0.2641509433962264,67,14,14,0.2641509433962264,62,9,9,0.16981132075471697,69,16,16,0.3018867924528302,72,19,19,0.3584905660377358,62,9,9,0.16981132075471697,59,6,6,0.11320754716981132,59,6,6,0.11320754716981132,65,12,12,0.22641509433962265,64,11,11,0.20754716981132076,59,6,6,0.11320754716981132
71,83,12,12,0.16901408450704225,98,27,27,0.38028169014084506,106,35,35,0.49295774647887325,104,33,33,0.4647887323943662,94,23,23,0.323943661971831,103,32,32,0.4507042253521127,104,33,33,0.4647887323943662,88,17,17,0.23943661971830985,99,28,28,0.39436619718309857,96,25,25,0.352112676056338,76,5,5,0.07042253521126761
114,131,17,17,0.14912280701754385,136,22,22,0.19298245614035087,129,15,15,0.13157894736842105,143,29,29,0.2543859649122807,137,23,23,0.20175438596491227,116,2,2,0.017543859649122806,138,24,24,0.21052631578947367,124,10,10,0.08771929824561403,144,30,30,0.2631578947368421,143,29,29,0.2543859649122807,144,30,30,0.2631578947368421
65,74,9,9,0.13846153846153847,78,13,13,0.2,88,23,23,0.35384615384615387,90,25,25,0.38461538461538464,94,29,29,0.4461538461538462,90,25,25,0.38461538461538464,89,24,24,0.36923076923076925,85,20,20,0.3076923076923077,86,21,21,0.3230769230769231,94,29,29,0.4461538461538462,87,22,22,0.3384615384615385
